text,label,idiom_string,source
"many, if not most, events implicated in depression do not occur out of the blue.",1,out of the blue,MAGPIE
most birds take about 20 minutes to lay an egg.,0,lay an egg,MAGPIE
"the pair have reportedly clashed over who runs the commercial side of the club, and their relationship is not helped by a new book by former chairman irving scholar.",0,by the book,MAGPIE
"here is one of those places, then, where the frontier does not follow the ridge of the mountains, but takes a sudden dive down on the french side.",0,take a dive,MAGPIE
"‘ well, my advice to him would be, don't give up the day job.",1,don't give up the day job,MAGPIE
"he didn't answer, his silence becoming unnerving, and when she examined his features she was dismayed by the bleakness she saw there ; then, with almost cold deliberation, he turned away and sat on the edge of the bed with his back to her.",0,on edge,MAGPIE
so the scotsman asked several leading businessmen whether they thought the economy really is on the mend.,1,on the mend,MAGPIE
his epitaph is equally phlegmatic : ‘ death in the fast lane is a way of life for many rabbits.’,1,in the fast lane,MAGPIE
"the linoleum ruptured, and something heavy landed on the back of my head.",0,on the back of,MAGPIE
satisfied customers may by word - of - mouth create inquiries from ' warm ' prospects.,1,word of mouth,MAGPIE
version 1 of rescalc has been around for some years and is today regarded as rather palaeolithic.,1,have been around,MAGPIE
"on an individual level luke singles out the contribution of charron ' outstanding in every way ', lougheed ' the man of the match against north harbour ', knauer ' worked very hard, as always ', the front row group ' for their strong scrummaging ', along with captain woods and vice - captain and hooker mark cardinal, a 1987 world cup veteran, for excellent leadership in most demanding circumstances.",0,on the level,MAGPIE
i made some comment and he bit my head off.,1,bite someone's head off,MAGPIE
"well - a - well, i 'd best go and see what's wanted of me — an oath, most like, to keep the peace.’",1,keep the peace,MAGPIE
"we started everything from scratch, which is nice, because people get so stuck in their ways : you walk into a professional studio and things are always done in a certain way.",1,from scratch,MAGPIE
' but i didn't hear a thing. ',0,hear things,MAGPIE
"moreover, as a result of the defences of act of god, act of a third party and statutory authority, the courts must investigate not only the reasonableness of the accumulation, but also the defendant's responsibility for its actual escape.",1,act of god,MAGPIE
"clare wood los 6–4, 6–2 to halle cioffe, and it was left, as it is so often, to jo durie to fly the flag.",1,fly the flag,MAGPIE
a blockage can also occur when two rabbits come face to face in a hole of small diameter.,0,in the hole,MAGPIE
why haven't we seen wanted posters up for this dangerous loony now he's on the run?’,1,on the run,MAGPIE
take it from me ; the average network station will not be up and running five minutes after you 've taken it out of the box.,0,out of the box,MAGPIE
"the sun was shining, the water a deep indigo - blue and the air so crystal clear that it seemed as though i could stretch out my hand and touch the gleaming white of sarmiento far to the south - east in tierra del fuego.",1,crystal clear,MAGPIE
"they may have intended to present the information as a factual account, or they may have been investigating a particular area with a view to using the material obtained as a background for a piece of more imaginative writing.",1,with a view to,MAGPIE
so if there are any problems drop me a line.,1,drop someone a line,MAGPIE
for a long time local authorities have been getting away with murder — they 're not keeping maps up - to - date and have low maintenance budgets for rights of way.,1,get away with murder,MAGPIE
"clwyd council and the borough council had agreed to the transfer of the premises but the plan has been put on ice because newi, formerly under the wing of the county council, is to become an independent body from april.",1,on ice,MAGPIE
"a firm, but not frightening, explanation of what dietary deficiency can do to the health of old people can often work wonders in stirring them into action, too.",1,work wonders,MAGPIE
"preventing a young and disruptive child from playing, but allowing him / her to watch the others at play, may also do the trick.",1,do the trick,MAGPIE
"mr pilkington of the english glass firm had an important meeting in paris on 15 july 1919, but he had missed the boat - train and thought he had missed the meeting.",0,miss the boat,MAGPIE
"however, in the long term this is not the case, because of the extent of the power that can be gained by patrons.",1,in the long term,MAGPIE
"if it was viola, she was obviously playing hard to get.",1,play hard to get,MAGPIE
"oh right, no it's olympus and it's erm why we 're doing this is partly because the european space agency is trying to encourage people who weren't previously satellite users to become satellite users and in the next century, or whenever, erm to to actually buy commercial satellite time for from them.",0,buy time,MAGPIE
ഒന്ന് ചെറുതും ഒന്ന് വലുതും,1,ഒന്ന് ചെറുതും ഒന്ന് വലുതും,Kaggle-Indian-Idioms
"‘ she's cut and run,’ said the thin man, licking his lips nervously, ‘ and hugh's gone after her.’",1,cut and run,MAGPIE
"the trains will run empty coaching stock to and from tyseley sidings to hall green, locomotives being exchanged in the loop adjacent to the museum.",0,in the loop,MAGPIE
"there is still a long way to go, however, before the disease receives the attention and share of resources which it deserves, whereby an effective screening programme can be established to identify those most at risk.",0,way to go,MAGPIE
"‘ it was touch and go financially,’ says rudd.",1,touch and go,MAGPIE
and rover is right : by no stretch of the imagination could it be called a replacement for the dogged montego because it competes in a different class.,1,by no stretch of the imagination,MAGPIE
"soon after the embassy, he assembled the lads and told them : anyone who laid a finger on the girl would be keelhauled.",1,lay a finger on,MAGPIE
"then there were truly new beginnings, a hated poor law, dead and buried ; a single, uncluttered task — to improve the quality of public care ; and a specially recruited ( and largely newly trained ) new band of professionals to take on the exciting role of pioneers.",1,dead and buried,MAGPIE
"he made his way down the narrow road, huddled like a crab within his familiar brown overcoat.",0,down the road,MAGPIE
"the next is almost certain to be its fellow baltic republic of estonia, whose communist party is determined to follow suit, according to its ideology secretary, mr mikk titma.",1,follow suit,MAGPIE
‘ it's probably sour grapes after they 've been beaten 4 - 2 by nine men.,1,sour grapes,MAGPIE
an unpredictable quirk of history had forced him to take stock and change direction.,1,take stock,MAGPIE
"again he beat burrows, but this time decided to go it alone.",1,go it alone,MAGPIE
"and therefore, uncle, though it has never put a scrap of gold or silver in my pocket, i believe that it has done me good, and will do me good ; and i say, god bless it! """,0,in someone's pocket,MAGPIE
"there are two types of warm boot ( the same as pressing control, alt and del ), a cold boot ( like switching off and on again, or pressing the reset button ) and a reload, which is the quickest of the lot.",0,off and on,MAGPIE
study this example which has high and low limits.,0,high and low,MAGPIE
"it's a guy thing, the kind of guy thing which reservoir dogs puts under the microscope.",1,under the microscope,MAGPIE
' get hold of some ordinary chap and drop a few hints in his ear. ',1,drop a hint,MAGPIE
but i don't want to tempt fate.’,1,tempt fate,MAGPIE
"i was pleased to be able to announce that i had followed many of their therapies, but fearfully expressed my alarm and disappointment that having religiously performed my visualizations, cancer may have returned by the back door.",1,by the back door,MAGPIE
way to go!,1,way to go,MAGPIE
the people there don't give a fig.,1,not give a fig,MAGPIE
if i just bought an off the shelf package like turbo pascal or microsoft pascal could i without having to buy add on libraries produce this type of effect.,1,off the shelf,MAGPIE
a tank farm is passed on the right before arriving at a water crossroads with the river aire at castleford junction.,0,at the crossroads,MAGPIE
"but in the final analysis it is a question of political history, which only the political historians can resolve.",1,in the final analysis,MAGPIE
"the subject under discussion is that old chestnut, public or private financing of the arts, but there is a particularly exciting line - up of speakers to chew the cud.",1,chew the cud,MAGPIE
"click on the buttons "" consolidate files "" and "" update "" to organize media from itunes and to organize your media files in specific folders such as music, movies, software, etc.",0,on the button,MAGPIE
styling tricks from clairol for life in the fast lane,1,in the fast lane,MAGPIE
she turned away from tracy johnson and went straight to the woman in the chair.,0,go straight,MAGPIE
"he added, ‘ i paid top dollar, but it's a good thing i did, because there were two other people who were after the plane and i just moved quicker than they did.’",1,top dollar,MAGPIE
"leonora doubted that biscuits were much of a cure for what ailed her, but she bit into one meekly, deciding that the best policy was to fall in with penry vaughan's wishes whenever possible, to keep the peace.",1,keep the peace,MAGPIE
"one of the men, bearded, with roughly patched jeans and a loud laugh, leaned on the back of rain's chair, his head close to hers, and talked to oliver as though she were not there.",0,on the back of,MAGPIE
"with £ 400 to the first man home and £ 300 to the first lady and considerable training grants throughout, lisburn looks sure to turn up trumps once again.",1,turn up trumps,MAGPIE
"before you leave here today, i 'll show you how overcrowding can be dealt with once and for all.",1,once and for all,MAGPIE
"peter was feeling irritable, partly because joe's putative success contrasted with his own failure to acquire a girlfriend, and partly because jill was reputed to be hot stuff, a chick who positively demanded to go all the way.",1,go all the way,MAGPIE
"but kids have a long tradition of getting the better of adults, going back to the famous five and beyond.",1,get the better of,MAGPIE
"however, unless you are climbing on a single 50 metre rope, it's preferable to abseil direct down to the couloir rather than take the pendulum of the normal route.",0,on the ropes,MAGPIE
boxing clever … teacher sue lyonette with pupils at ladymount school,1,box clever,MAGPIE
"indeed, the us adopted wide - ranging financial reform in july, europe is in the final steps of approval of its legislative package, and the basel committee has just given the green light to a substantial tightening of credit - risk rules.",1,green light,MAGPIE
"‘ a lot of good any of that did when we had a captain who couldn't fucking hack it, didn't have the guts to admit it, and had to send good men into a fucking killing ground to prove how fucking brave he really was.’",1,hack it,MAGPIE
"in the case of the fully autonomous person, authority and responsibility go hand in hand.",1,go hand in hand,MAGPIE
"its former head, mr erich mielke, for years the man who knew all the secrets and pulled all the strings, is under arrest and facing corruption charges.",1,pull strings,MAGPIE
"had barely spoken to them, preferring to do her shopping in norwich rather than run the gauntlet of village gossips in the local store.",1,run the gauntlet,MAGPIE
the stunning opacity of solvency ratios encouraged regulators to turn a blind eye to banks ’ excessive risk - taking.,1,turn a blind eye,MAGPIE
"he was running riot, switching off lights and knocking things over.",1,run riot,MAGPIE
"hinting at the possible use of force, he warned : "" those who play with fire will be burnt to ashes. """,1,play with fire,MAGPIE
"the standing orders committee ruled it out of order under rule a three, within the remit of congress.",1,out of order,MAGPIE
"starting in one corner, helen began to lift garments from pegs and drop them on the floor in a pile — a mack of her father's, something of edward's not worn within living memory, a very ancient corduroy jacket of dorothy's, also unused for many a year.",1,within living memory,MAGPIE
this strategy needs to be inverted – and greece offers a real opportunity to get ahead of the curve.,1,ahead of the curve,MAGPIE
"fred cut into the pieces of meat with a vengeance, fighting the urge to shake the chattering bessie chandler by the scruff of her neck until she snuffed it.",1,with a vengeance,MAGPIE
mandy's lawyer joe wood said last night : ‘ papers are presently being looked at with a view to proceedings being taken.’,1,with a view to,MAGPIE
"no no no no there was nobody, now er probably up at the top of gallway there though one or two would have er stables i should think, one or two of those houses, but by and large no i shouldn't think so.",1,by and large,MAGPIE
"the spot on the gill cover is present, but not clearly defined and not edged in blue or red.",0,spot on,MAGPIE
"critics have sniped that the dividing line between the political and the profit motive has never been too sharply defined on hamnett's agenda, a feeling provoked by such off - the - cuff comments as her enthusiasm for an idea that will ' make me rich and won't hurt animals '.",1,off the cuff,MAGPIE
""" i ate some hot curry and then got lost in the fog and fell down …",0,get lost,MAGPIE
"similarly, in jefferson v cape insulation ltd ( 3 december 1981 ) farquharson j awarded substantial damages to a woman who knew she must soon die of mesothelioma for her evident distress in being parted from her family : per farquharson j : i have also to bear in mind … that the major misery this woman is going to sustain is not the pain, serious and terrible as that is, but the prospect which must be continually in her mind of being parted from her family, and particularly her youngest child.",1,bear in mind,MAGPIE
the cry that came in from the cold,1,come in from the cold,MAGPIE
"‘ i called him in, expressed my gratitude at his willingness to hold the fort in the boarding annexe, and then … offered him a sherry, if he should feel like it, later on.’",1,hold the fort,MAGPIE
there must have been twenty men on the back of the lorry in masks and carnival costumes.,0,on the back of,MAGPIE
"after we had asked ourselves all these questions, it was clear to us that developing the show and selling it had to go hand in hand.",1,go hand in hand,MAGPIE
"it would work, i explained to him — and it is a demonstration of how something that is essentially simple can on that account have a firmer structure than a more complicated mechanism — by dint of borrowing from the banks a sufficient sum of money for the initial purchase.",1,by dint of,MAGPIE
"he was happiest at the field meetings of natural history societies and the subsequent festivities, where he could give free rein to his talents as a ballad singer and after - dinner speaker.",1,free rein,MAGPIE
"the enormous risks and start - up costs of launching a new daily from scratch prevented anyone trying, until new technology and a successful challenge to the strength of the trade unions transformed fleet street economics in the mid-1980s — making ‘ fleet street’ itself an archaic term, since the construction of production plant elsewhere, notably wapping, was part of the process.",1,from scratch,MAGPIE
"after the price of dixons shares staged a strong rise on tuesday, kingfisher felt obliged to broadcast a statement to the stock exchange first thing yesterday morning saying a bid was in the offing.",1,in the offing,MAGPIE
' dressed to kill. ',1,dressed to kill,MAGPIE
only if productivity increases is it possible in the long - run for both groups to be successful.,1,in the long run,MAGPIE
‘ in bishopsgate there was a man lying on the ground and other people were giving him the kiss of life.’,1,kiss of life,MAGPIE
you look quite out of sorts.,1,out of sorts,MAGPIE
using ‘ natural’ units of behaviour is not without its problems as it begs the question as to what constitutes ‘ natural’as well as sidestepping the issue of why particular parts of the nervous system are important for particular behaviours.,1,beg the question,MAGPIE
right out of the blue ; ran away and married her in england.,1,out of the blue,MAGPIE
"‘ i took the liberty of calling,’ he said.",1,take the liberty,MAGPIE
a series of brief telephone calls put me in touch with the keeper of the chalice well at glastonbury who was able to give me chapter and verse on the well cover.,1,chapter and verse,MAGPIE
the same if you were thinking of murdering this person and you knew that you could be traced you 'd bloody think twice if you were gon na be hanged or chaired.,1,think twice,MAGPIE
my husband take a back seat?,1,take a back seat,MAGPIE
"hardly compact enough to squeeze into your average tokyo matchbox flat but all the rage nevertheless, this surreal daliesque chair was designed by japanese ‘ furniture tailor’ yoichi nakamura.",1,all the rage,MAGPIE
at our conference in november we had a roll call of five hundred and six g m b members who 'd ha who were either killed in work or had died from work - related disease since may nineteen seventy nine those who attended may recall the emotional er,0,in the works,MAGPIE
appleton was proud of having done much of his own research on a shoestring.,1,on a shoestring,MAGPIE
are you in a rut with your make - up?,1,in a rut,MAGPIE
"in my opinion, the facts of this case to which i have referred fall far short of establishing that mr. occhi had so consented.",1,fall short,MAGPIE
"completing the design, there is a block of five squares high by four wide in blue above the four by 16 in red, four by ten squares in black above the blue and 14 by four squares in red above the white.",0,in the red,MAGPIE
"he has received short shrift from the cegb, having recently been moved to an out - of - the - way office at barnwood, the central headquarters base for the board's engineering development and design teams.",1,short shrift,MAGPIE
officials came under fire at the meeting from disgruntled members who expressed concern about the club's prospects.,1,under fire,MAGPIE
"‘ well, take it from me, she knows exactly what's she doing.",1,take it from me,MAGPIE
"us west inc's plans to get into the fun - and - games end of the telecommunications business with time warner inc has received a mixed review from the junior among the credit rating agencies, duff & phelps credit rating co of chicago, which placed the securities of us west inc, us west capital funding and us west financial services on rating watch.",1,fun and games,MAGPIE
"thus, at the end of april, as the battle over budget - cutting came to a head in the house with members asked to choose between the democratic - controlled budget committee package and the administration - sponsored gramm - latta substitute, o'neill, ‘ threw in the towel two days before the actual vote.’",1,throw in the towel,MAGPIE
ఒక తప్పు వెయ్యి చిక్కులు,1,ఒక తప్పు వెయ్యి చిక్కులు,Kaggle-Indian-Idioms
they claimed that mid - week polls showing a large labour lead had shocked some floating voters into the realisation that opting for the liberal democrats would let mr kinnock in by the back door.,1,by the back door,MAGPIE
"the opportunity to serve you and to meet you over the next twelve months i look forward to enormously and while i 'm not conceited enough to think that i can move mountains in the year ahead, or naive enough to think that i can please everybody fully, fellow tablers i promise you i will not let you down.",1,move mountains,MAGPIE
the scheme is not out of the woods yet ; and rather than break the law maxen last week filled in the local vatman's registration form.,1,out of the woods,MAGPIE
"well, my feeling is, and it's really the same message that you get from most greens and most environment books, is that under - consumption, that is poverty in the poor countries, is linked to over - consumption in the rich countries, and we have to grasp this nettle — it's one that the conservative party in its white paper on the environment avoids noticeably — we have to grasp the nettle, that as long as we are over - consuming there's not going to be enough to go round everywhere, and my book shows that this pattern is really a three hundred year old pattern dating from the first colonial expansion of europe and the slave trade, and it's still going on today.",1,grasp the nettle,MAGPIE
all by and large i mean it's almost certainly,1,by and large,MAGPIE
"‘ linfield were drawn against a better team than the one we defeated — and i know from playing in cyprus with shamrock rovers a few years back that bangor were up against it, too.",1,up against it,MAGPIE
"he caught a bad cold and, thinking that the disease had returned, took his life.",1,catch a cold,MAGPIE
"derek mcintosh, the chief executive of bell lawrie white but still known to all and sundry as plain bell lawrie, is one such person.",1,all and sundry,MAGPIE
so why come when we went to town that time you could hardly hit the board,0,go to town,MAGPIE
"they are born under the ancient chinese curse, ‘ may you live in an interesting time’, a time in which values, lifestyles, relationships, employment are up for grabs, and in which traditional answers to the question ‘ how to live?’ are weak and conflicting.",1,up for grabs,MAGPIE
elaine pulled a face.,1,pull a face,MAGPIE
a good tonic can work wonders.’,1,work wonders,MAGPIE
usually when he 'd had a few.,1,have a few,MAGPIE
‘ someone's been telling tales …,1,tell tales,MAGPIE
"‘ we want to find out what happened, we just want to get to the bottom of things.’",1,get to the bottom of,MAGPIE
"when mussolini took over in italy, anna decided that it was her duty to make her protest on italian soil as an italian citizen ( a not too vulnerable one for the time being, but she tried her best ).",1,for the time being,MAGPIE
తాంబూలాలిచ్చేశాను తన్నుకు చావండి (thamboolalichhesanu thannuku chavandi),1,తాంబూలాలిచ్చేశాను తన్నుకు చావండి (Thamboolalichhesanu thannuku chavandi),Kaggle-Indian-Idioms
the 500 ft demetrius was driven ashore and broke its back on the rocks in a force 11 gale as it was being towed to port the week before christmas.,0,on the rocks,MAGPIE
"‘ i hardly feel that i 'm the person to answer that particular question,’ offered mr palmer, ‘ as i 've never set eyes on the lady before yesterday.’",1,set eyes on,MAGPIE
all right now before we do any more dates put your hands down and we 'll have a few more birthday dates in a bit.,0,hands down,MAGPIE
"but lets just notice two or three things in this particular interview, the first thing that we see and its so obvious is that the way of salvation is so wondrously simple, it couldn't be easier, you know there are so many people who think it is hard to get saved, who think it is hard to come to christ and to become a christian, well the problem is you see the devil has blinded their eyes, they 've blinded the eyes of men and women, so that they think that they can't do this, but what is actually happened, paul tells us in, in, in carinthians in the first er, in to carinthians in chapter four and verse four, he says the god of this world has blinded the eyes of the unbelieving that they might not see the light of the gospel of the glory of christ, who is the image of god, and there is this shroud, this covering, but the thing is god takes that away so that we can see and so its not difficult to become a christian, it is not hard to get saved, sometimes as christians we are guilty of making it difficult for people to become christians, we put all sorts of rules in, we, we make them undergo various periods of er, of probation before we wer we 've were, were willing to call them christians, remember the philippine jailer he cried out there to the apostle paul who was er in jail there with silus the, the be, the tremendous earthquake and they were released all their vetoers was, were broken and the prisoners were all, could of escaped and the ja, the philippine jailer he cries out a question that i 'm sure he doesn't even know what he means when he calls it out, he's not thinking of heaven, he's not thinking of the future life, he's not thinking of having his sins dealt with but he just cries out what must i do to be saved and the apostle paul and he gets, opens the scrolls and he starts in genesis and he explains the plan of salvation and he tells him what he's got to do and he explains all the requirements and then about three or four hours later the mans mind is completely blurred he doesn't understand a word of it, its gone way beyond him",1,see the light,MAGPIE
he insisted on trying to go it alone and lurched against the bannister where he hung on for dear life.,1,go it alone,MAGPIE
and eleanor was damn lucky to have him as an escort once in a blue moon.,1,once in a blue moon,MAGPIE
"rock bottom, but socially secure.",1,rock bottom,MAGPIE
"it is apparent that the privy council continued, even after 1540, to be involved in judicial business : but the nature of that involvement can best be studied in the context of the legal system as a whole.",0,in business,MAGPIE
more than half of those questioned admitted to ‘ going over the top’ when disciplining their children.,1,over the top,MAGPIE
wouldn't it take the wind out of his sails more thoroughly if she seemed indifferent rather than angry?,1,take the wind out of someone's sails,MAGPIE
"‘ you lose face if you break your word, but not if you use defenceless kids as hostages to force an injured opponent into fighting you!’",1,lose face,MAGPIE
even very young babies turn their heads away from something they don't want.,0,turn someone's head,MAGPIE
"and let me tell you, if you were to have come into our servants ' hall on any of those evenings, you would not have heard mere gossip ; more likely, you would have witnessed debates over the great affairs preoccupying our employers upstairs, or else over matters of import reported in the newspapers ; and of course, as fellow professionals from all walks of life are wo nt to do when gathered together, we could be found discussing every aspect of our vocation.",1,walk of life,MAGPIE
sort of austere and pissed off with anything less than perfection in the world.,1,pissed off,MAGPIE
"some then leaned on the rope, hauling the boar through the water, while others stayed behind to guide it round rocks and counteract the drag of the current.",0,on the ropes,MAGPIE
"but she, she could bleeding dress up to the nines.",1,dressed to the nines,MAGPIE
didn't carry on that game that we were playing before.,0,on the game,MAGPIE
the complete oblivion of each of the two peoples to the national existence of the other inevitably led to false and distorted perceptions that took root deep in the collective consciousness of both.,1,take root,MAGPIE
"when the comm blinked into life, i saw face that i vaguely recognized — a famlio enforcer named pulvidon, who had lately been rising rapidly through the ranks.",1,rise through the ranks,MAGPIE
i want some off - the - record background on dr alan tate.,1,off the record,MAGPIE
should of had it on the card and tucked it in,0,on the cards,MAGPIE
she wants to take biscuits from the kitchen but she doesn't because she knows she will get into trouble.,0,take the biscuit,MAGPIE
the midlands hooker brian moore returns after injury and the 6 ft 10 in lock martin bayfield should also have something to say when dooley and kimmins stake their obtrusive claim in the line - out.,1,stake a claim,MAGPIE
"martinho wanted to please them, so he passed the buck to yours truly.",1,pass the buck,MAGPIE
"‘ it is an achievement to play games at the moment, as we are literally living from hand to mouth.",1,hand to mouth,MAGPIE
"this cultural contradiction, in the long run, is the deepest challenge to the society.",1,in the long run,MAGPIE
"this test was considered in schroeder ( a ) music publishing co ltd v macaulay [ 1974]1 wlr 1308 where lord reid, by way of answer to the argument that a standard form of publishing agreement which had stood the test of time was the very same agreement about which the defendant was then complaining, said that this test could only be satisfied when the contracts were "" made freely by parties bargaining on equal terms "" or "" moulded under the pressures of negotiation, competition and public opinion "".",1,stand the test of time,MAGPIE
"like beat duty, on shift around the clock, discipline never let up.",1,around the clock,MAGPIE
"by the time this younger generation has been correctly defined, it has grown older and replaced by some new unknown demographic quantity.",1,unknown quantity,MAGPIE
"dublin was the focal point of a cambridge side who played the ball long, got it forward quickly and were condemned for their tactics.",0,play ball,MAGPIE
"finally, an emotional attachment or special friendship — call it what you will — can only go from strength to strength now, and in this respect, october should have a fairytale ending.",1,go from strength to strength,MAGPIE
"my hope is to have fish that will reproduce but, so far, all that's happened is the neighbour's cat ate every last one.",1,every last,MAGPIE
"based on the recently announced unisys pc range ( ux no 420 ), it will included on - board ethernet, enhanced scsi and graphics capabilities.",0,on board,MAGPIE
the tory coal rebels are demanding that at least 15 collieries remain open and gave warning that the government could face defeat if it tried to push through proposals that were significantly out of line with the report of the commons industry select committee earlier this year.,1,out of line,MAGPIE
"prospects of a nation - wide investigation into farmers ' tax affairs is on the cards following initial probes in wales, the west country and parts of the north west.",1,on the cards,MAGPIE
these ‘ state of the art’ foam systems offer the ultimate in modern re - roofing techniques.,1,state of the art,MAGPIE
"‘ daddy's always thought the world of you, and i know mummy likes you.",1,think the world of,MAGPIE
pretty perennial plants : bbc gardeners ' world editor pasco thinks the world of globe artichokes,1,think the world of,MAGPIE
forres forays is the first of two series of occasional articles which will detail rivers off the beaten track in scotland.,1,off the beaten track,MAGPIE
"the ballerina lydia lopokova, pencil on card, 1919, by pablo picasso, which has been acquired by the fitzwilliam museum, in cambridge.",0,on the cards,MAGPIE
"developing since the enlightenment of the eighteenth century, accelerating in the nineteenth century in step with the acceleration of capitalist industry, the process of intrusion increasingly separated culture out into the familiar contours of ' high ' and ' low ', isolating what it could not assimilate.",0,high and low,MAGPIE
"okidata microsystems division, the japanese giant's fledgling flight into the us workstation business, crashed and burned last week, taking the remnants of the mass860 consortium — the intel corp i860 risc supporters club — with it.",1,crash and burn,MAGPIE
his poetry will stand the test of time.,1,stand the test of time,MAGPIE
i ' m concerned about the temperature when it runs idle its around 45c and when i play games its 75c max 80c,0,play games,MAGPIE
"it does come packed in a box of course, but if you want to join a knitting club or class and are asked to bring your machine with you, you may wish you had a carrying case with a handle.",0,join the club,MAGPIE
"alerted by a slight sound, she again opened her eyes, turning her head slowly to see a cup and saucer being placed on a nearby small table.",0,turn heads,MAGPIE
he reversed his car and prepared to drive back down the road.,0,down the road,MAGPIE
"oh, no oh no it's not like that, it's a proper model agency in er, in nottingham, it, it sounds above board, well i 've heard of the, the lass that's running it actually, she's an ex page three girl, she's er very good, you know, from what i 've heard it's erm, it's a reputable agency and er, yeah the ones of the sharks doing that, but er, she ain't one of them thing is she doe she",1,above board,MAGPIE
a must - try in my book.,1,in my book,MAGPIE
"i were just pretending to him, because i ain't really full of beans.",1,full of beans,MAGPIE
"by the same token, certain curriculum areas ( notably topic work and art ) might be seen as of tow priority and requiring little more than occasional and cursory monitoring by the teacher, with the result that unless the tasks set have an exceptionally high combination of challenge, motivating power and self - monitoring potential, children may spend excessive amounts of time either off - task or only partially engaged, or undertaking low - level learning.",1,by the same token,MAGPIE
"most of the advice kenneth clarke's receiving is to cut rates, his job now is to decide whether britain's economy is more in danger of boiling over or going off the boil completely.",1,go off the boil,MAGPIE
"replies are coming in thick and fast to the invitations, and as yet there have been no refusals — the charm of mcbride and his way with words will undoubtedly see that there will be a full quota on parade.",1,thick and fast,MAGPIE
"the bees were humming among the leaves around me ; all else was silent as the grave ; not a human ~ being was to be seen on the mountains, and below me on the peaceful meadows the cows were resting in the high grass.",1,silent as the grave,MAGPIE
there was nothing doing.,1,nothing doing,MAGPIE
"to make the top rectangular picture, i used a card mount in palest pink, behind which i stretched some cream silk.",0,in the pink,MAGPIE
i don't want to tell tales out of school.,1,tell tales out of school,MAGPIE
over the counter,1,over the counter,MAGPIE
touch : put several objects in a drawstring bag.,0,in the bag,MAGPIE
"so, as rumors fly of secret marriage ceremonies either already concluded or in the works, could the trouble brewing in india over the french president ’s very public love life be behind the rush to have the couple legally we d?",1,in the works,MAGPIE
and while all this brouhaha was going on richard harris was getting up heston's famously broken nose.,1,get up someone's nose,MAGPIE
burun guessed that kiku had been no more than a hair's - breadth away from being impaled on the st'lyan's gilden horn.,1,a hair's breadth,MAGPIE
‘ people look for new ways to supplement their income and it is employers who feel the pinch.’,1,feel the pinch,MAGPIE
i think most conductors would have stopped and made a song and dance.,1,song and dance,MAGPIE
"though some countries have fixed their court systems, streamlined their tax administrations, and begun to get a handle on corruption, the impact on financial markets has been uneven.",1,get a handle on,MAGPIE
abu salim decided that a third day wasn't necessary so i had to grin and bear it.,1,grin and bear it,MAGPIE
"the dust has settled on rock, there are no cloud bursts of white blindness as such, nor any prospects of any.",0,on the rocks,MAGPIE
"‘ aye, except he pointed out that if she was new to the job and she tried to muzzle in around that quarter, the others would soon make short shrift of her.",1,short shrift,MAGPIE
"once, twice, three times until, yes, it goes and opens its eyes and gets right up, right as rain — ;",1,right as rain,MAGPIE
i 've heard a figure of about five hundred and i just wondered if that rings a bell as being reasonable with you?,1,ring a bell,MAGPIE
the seven decades of their dictatorship blighted the little bits of a law - based society that had taken root root.,1,take root,MAGPIE
"there was fourteen feet of snow floods but the main thing about these people, they took their jackets off and got stuck in and they became special people because they laid the foundation of the welfare state that everybody else in this room g gained out of.",1,get stuck in,MAGPIE
"so my answer to the question a is, i am not against a new settlement, of the right scale in the right location, but it is not a panacea, it is not an answer to all the questions, now it's being offered in terms of a balanced strategy, i say that balanced strategy as put forward does not work, certainly beyond two thousand and six, and may grind to a halt well before two thousand and six if rates of development proceed er as they have done in certain years in the past, so it's very important to look at that, can we just revisit the public acceptance of the new settlement, of course the public have accepted it and welcomed it, it has certain attractions, i support those attractions, however it's easy for the public to accept that when measured against certain sites specific proposals that were put to them when they did not know where the new settlement would be, and still do not know, when new settlement locations are put forward it will be quite a different scenario.",1,grind to a halt,MAGPIE
it's not on the back of his door jonny?,0,on the back of,MAGPIE
"come to think of it, even when the taxman wrote to me, he spelled it c - u - r ; which is why i never wrote back.",1,come to think of it,MAGPIE
"the once great cavan cross swords with monaghan at castleblayney, bidding to end a frustrating losing championship sequence.",1,cross swords,MAGPIE
"his views are taken to task by lancelot, the hero of kingsley's yeast ( 1848 ) : ' it may suit the mr lyles of this age … to make the people constantly and visibly comprehend that property is their protector and their friend, but i question whether it will suit the people themselves, unless they can make property understand that it owes them something more definite than protection. '",1,take someone to task,MAGPIE
"in the turmoil which followed the budget, it became impossible for ministers to conceal that, once again, the government was in a muddle, making policy on the hoof around television and radio studios.",1,on the hoof,MAGPIE
nathan was hauling the oilskins out of the locker as she turned the corner.,0,turn the corner,MAGPIE
"at the same time, we should explore the practicality of climate engineering, which we may need to buy more time for a smooth transition away from fossil fuels.",1,buy time,MAGPIE
చీమ కుట్టినా తట్టుకోవాలి,1,చీమ కుట్టినా తట్టుకోవాలి,Kaggle-Indian-Idioms
"prohibition of imports continued, in theory if not in practice, until 1842, though many european cattle did manage to slip through the net.",1,slip through the net,MAGPIE
and then go on to tell this tale.,0,tell tales,MAGPIE
all other things being equal.,1,all things being equal,MAGPIE
"decisions have to be taken, and as director you have got to bite the bullet.’",1,bite the bullet,MAGPIE
‘ they 're in the bag.,0,in the bag,MAGPIE
